State,Governor,Party,Twitter Handle
Alabama,Kay Ivey,R,@GovernorKayIvey
Alaska,Mike Dunleavy,R,@GovDunleavy
Arizona,Doug Ducey,R,@dougducey
Arkansas,Asa Hutchinson,R,@AsaHutchinson
California,Gavin Newsom,D,@GavinNewsom
Colorado,Jared Polis,D,@GovofCO
Connecticut,Ned Lamont,D,@GovNedLamont
DC,Muriel Bowser (mayor),D,@MayorBowser
Delaware,John Carney,D,@JohnCarneyDE
Florida,Ron DeSantis,R,@GovRonDeSantis
Georgia,Brian Kemp,R,@BrianKempGA
Hawaii,David Ige,D,@GovHawaii
Idaho,Brad Little,R,@GovernorLittle
Illinois,J.B. Pritzker,D,@GovPritzker
Indiana,Eric Holcomb,R,@GovHolcomb
Iowa,Kim Reynolds,R,@KimReynoldsIA
Kansas,Laura Kelly,D,@GovLauraKelly
Kentucky,Andy Beshear,D,@GovAndyBeshear
Louisiana,John Bel Edwards,D,@LouisianaGov
Maine,Janet Mills,D,@GovJanetMills
Maryland,Larry Hogan,R,@LarryHogan
Massachussetts,Charlie Baker,R,@MassGovernor
Michigan,Gretchen Whitmer,D,@GovWhitmer
Minnesota,Tim Walz,D,@GovTimWalz
Mississippi,Tate Reeves,R,@tatereeves
Missouri,Mike Parson,R,@GovParsonMO
Montana,Steve Bullock,D,@GovernorBullock
Nebraska,Pete Ricketts,R,@GovRicketts
Nevada,Steve Sisolak,D,@SteveSisolak
New Hampshire,Chris Sununu,R,@GovChrisSununu
New Jersey,Phil Murphy,D,@GovMurphy
New Mexico,Michelle Lujan Grisham,D,@GovMLG
New York,Andrew Cuomo,D,@NYGovCuomo
North Carolina,Roy Cooper,D,@NC_Governor
North Dakota,Doug Burgum,R,@DougBurgum
Ohio,Mike DeWine,R,@GovMikeDeWine
Oklahoma,Kevin Stitt,R,@GovStitt
Oregon,Kate Brown,D,@OregonGovBrown
Pennsylvania,Tom Wolf,D,@GovernorTomWolf
Puerto Rico,Wanda Vazquez Garced,NPP,@wandavazquezg
Rhode Island,Gina Raimondo,D,@GinaRaimondo
South Carolina,Henry McMaster,R,@henrymcmaster
South Dakota,Kristi Noem,R,@govkristinoem
Tennessee,Bill Lee,R,@GovBillLee
Texas,Greg Abbott,R,@GregAbbott_TX
Utah,Gary Herbert,R,@GovHerbert
Vermont,Phil Scott,R,@GovPhilScott
Virginia,Ralph Northam,D,@GovernorVA
Washington,Jay Inslee,D,@GovInslee
West Virginia,Jim Justice,R,@WVGovernor
Wisconsin,Tony Evers,D,@GovEvers
Wyoming,Mark Gordon,R,@GovernorGordon
Guam,Lou Leon Guerrero,D,@louleonguerrero
American Samoa,Lolo Matalasi Moliga,D,
Northern Mariana Islands,Ralph Torres,R,@GovernorCNMI
Virgin Islands,Albert Bryan,D,@govbryan
VP2020,Kamala Harris,D,@KamalaHarris
P2020,Joe Biden,D,@JoeBiden
VP2016,Mike Pence,R,@Mike_Pence
P2016,Donald J. Trump,R,@realDonaldTrump